,iteracion,path,distancia
69,69,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
70,70,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
71,71,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
72,72,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
73,73,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
74,74,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
75,75,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
76,76,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
77,77,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
78,78,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
79,79,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
80,80,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
81,81,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
82,82,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
83,83,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
84,84,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
85,85,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
86,86,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
87,87,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
88,88,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
89,89,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
90,90,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
91,91,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
92,92,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
93,93,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
94,94,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
95,95,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
96,96,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
97,97,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
98,98,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
99,99,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
100,100,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
101,101,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
102,102,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
103,103,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
104,104,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
105,105,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
106,106,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
107,107,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
108,108,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
109,109,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
110,110,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
111,111,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
112,112,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
113,113,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
114,114,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
115,115,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
116,116,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
117,117,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
118,118,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
119,119,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
120,120,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
121,121,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
122,122,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
123,123,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
124,124,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
125,125,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
