,solucion,conflictos
63,[1 4 7 3 6 2 0 5],2
64,[1 4 7 3 6 2 0 5],2
65,[1 4 7 3 6 2 0 5],2
66,[1 4 7 3 6 2 0 5],2
67,[1 4 7 3 6 2 0 5],2
68,[1 4 7 3 6 2 0 5],2
69,[1 4 7 3 6 2 0 5],2
70,[1 4 7 3 6 2 0 5],2
71,[1 4 7 3 6 2 0 5],2
72,[1 4 7 3 6 2 0 5],2
73,[1 4 7 3 6 2 0 5],2
74,[1 4 7 3 6 2 0 5],2
75,[1 4 7 3 6 2 0 5],2
76,[1 4 7 3 6 2 0 5],2
77,[1 4 7 3 6 2 0 5],2
78,[1 4 7 3 6 2 0 5],2
79,[1 4 7 3 6 2 0 5],2
80,[1 4 7 3 6 2 0 5],2
81,[1 4 7 3 6 2 0 5],2
82,[1 4 7 3 6 2 0 5],2
83,[1 4 7 3 6 2 0 5],2
84,[1 4 7 3 6 2 0 5],2
85,[1 4 7 3 6 2 0 5],2
86,[1 4 7 3 6 2 0 5],2
87,[1 4 7 3 6 2 0 5],2
88,[1 4 7 3 6 2 0 5],2
89,[1 4 7 3 6 2 0 5],2
90,[1 4 7 3 6 2 0 5],2
91,[1 4 7 3 6 2 0 5],2
92,[1 4 7 3 6 2 0 5],2
93,[1 4 7 3 6 2 0 5],2
94,[1 4 7 3 6 2 0 5],2
95,[1 4 7 3 6 2 0 5],2
96,[1 4 7 3 6 2 0 5],2
97,[1 4 7 3 6 2 0 5],2
98,[1 4 7 3 6 2 0 5],2
99,[1 4 7 3 6 2 0 5],2
100,[1 4 7 3 6 2 0 5],2
101,[1 4 7 3 6 2 0 5],2
102,[1 4 7 3 6 2 0 5],2
103,[1 4 7 3 6 2 0 5],2
104,[1 4 7 3 6 2 0 5],2
105,[1 4 7 3 6 2 0 5],2
106,[1 4 7 3 6 2 0 5],2
107,[1 4 7 3 6 2 0 5],2
108,[1 4 7 3 6 2 0 5],2
109,[1 4 7 3 6 2 0 5],2
110,[1 4 7 3 6 2 0 5],2
111,[1 4 7 3 6 2 0 5],2
112,[1 4 7 3 6 2 0 5],2
113,[1 4 7 3 6 2 0 5],2
114,[1 4 7 3 6 2 0 5],2
115,[1 4 7 3 6 2 0 5],2
116,[1 4 7 3 6 2 0 5],2
117,[1 4 7 3 6 2 0 5],2
118,[1 4 7 3 6 2 0 5],2
119,[1 4 7 3 6 2 0 5],2
120,[1 4 7 3 6 2 0 5],2
121,[1 4 7 3 6 2 0 5],2
122,[1 4 7 3 6 2 0 5],2
123,[1 4 7 3 6 2 0 5],2
124,[1 4 7 3 6 2 0 5],2
125,[1 4 7 3 6 2 0 5],2
126,[1 4 7 3 6 2 0 5],2
127,[1 4 7 3 6 2 0 5],2
128,[1 4 7 3 6 2 0 5],2
129,[1 4 7 3 6 2 0 5],2
130,[1 4 7 3 6 2 0 5],2
131,[1 4 7 3 6 2 0 5],2
132,[1 4 7 3 6 2 0 5],2
133,[1 4 7 3 6 2 0 5],2
134,[1 4 7 3 6 2 0 5],2
135,[1 4 7 3 6 2 0 5],2
136,[1 4 7 3 6 2 0 5],2
137,[1 4 7 3 6 2 0 5],2
138,[1 4 7 3 6 2 0 5],2
139,[1 4 7 3 6 2 0 5],2
140,[1 4 7 3 6 2 0 5],2
141,[1 4 7 3 6 2 0 5],2
142,[1 4 7 3 6 2 0 5],2
143,[1 4 7 3 6 2 0 5],2
144,[1 4 7 3 6 2 0 5],2
145,[1 4 7 3 6 2 0 5],2
146,[1 4 7 3 6 2 0 5],2
147,[1 4 7 3 6 2 0 5],2
148,[1 4 7 3 6 2 0 5],2
149,[1 4 7 3 6 2 0 5],2
150,[1 4 7 3 6 2 0 5],2
151,[1 4 7 3 6 2 0 5],2
